page,estimate,ci_lower,ci_upper
1,-0.016,-0.040,-0.008
1,-0.040,-0.064,-0.016
1,-0.008,-0.024,0.008
1,-0.024,-0.040,-0.008
4,-0.008,-0.032,0.008
4,-0.024,-0.040,-0.004
6,-0.024,-0.048,-0.008
6,-0.040,-0.064,-0.024
6,-0.016,-0.032,-0.001
6,-0.024,-0.040,-0.016
6,-0.018,-0.035,0.000
6,-0.029,-0.045,-0.012
6,-0.021,-0.034,-0.009
6,-0.002,-0.003,-0.0004
6,-0.001,-0.002,-0.0001
6,-0.001,-0.002,-0.0004
6,-0.010,-0.016,-0.003
6,-0.005,-0.008,-0.002
6,-0.008,-0.011,-0.002
6,-0.001,-0.001,-0.0001
6,-0.0008,-0.001,-0.0003
6,-0.0006,-0.001,-0.002
6,-0.032,-0.056,-0.016
6,-0.016,-0.032,-0.001
6,-0.016,-0.032,-0.008
6,-0.003,-0.006,-0.001
6,-0.002,-0.004,-0.001
6,-0.038,-0.067,-0.007
6,-0.028,-0.049,-0.006
7,-0.016,-0.040,-0.008
7,-0.040,-0.064,-0.016
7,-0.008,-0.024,0.008
7,-0.024,-0.040,-0.008
7,-0.001,-0.002,0.000
7,-0.001,-0.002,0.000
7,-0.0005,-0.001,-0.0001
7,0.064,0.008,0.120
7,0.040,0.008,0.080
8,-0.021,-0.042,-0.001
8,-0.036,-0.057,-0.014
8,-0.008,-0.023,-0.006
8,-0.018,-0.034,-0.002
8,-0.069,-0.093,-0.006
8,-0.088,-0.148,-0.028
8,-0.052,-0.096,-0.008
8,-0.063,-0.105,-0.021
8,-0.038,-0.070,-0.004
8,-0.024,-0.047,-0.001
8,-0.029,-0.049,-0.007
8,-0.016,-0.031,-0.001
8,-0.0007,-0.001,0.000
8,-0.0007,-0.001,0.000
8,-0.0005,-0.001,0.000
8,-0.004,-0.007,-0.002
8,-0.009,-0.015,-0.004
8,-0.003,-0.006,0.000
8,-0.007,-0.012,-0.002
8,-0.003,-0.005,-0.001
8,-0.006,-0.010,-0.002
8,-0.024,-0.038,-0.009
8,-0.069,-0.122,-0.014
8,-0.014,-0.024,-0.003
8,-0.051,-0.089,-0.013
9,-0.216,-0.404,-0.029